events_id,E_sum_cen_biletow_z_rynku_w,E_srednia_cena_biletow_z_rynku_w,E_liczba_biletow_z_rynku_w,E_dostepne_sektory
249639,0,0,0,event bez numerowanych miejsc
249683,0,0,0,event bez numerowanych miejsc
249726,0,0,0,event bez numerowanych miejsc
249742,0,0,0,event bez numerowanych miejsc
249850,0,0,0,event bez numerowanych miejsc
260899,0,0,0,event bez numerowanych miejsc
260926,0,0,0,event bez numerowanych miejsc
261011,0,0,0,event bez numerowanych miejsc
248901,0,0,0,event bez numerowanych miejsc
248955,0,0,0,event bez numerowanych miejsc
248959,0,0,0,event bez numerowanych miejsc
248961,0,0,0,event bez numerowanych miejsc
248985,0,0,0,event bez numerowanych miejsc
248988,0,0,0,event bez numerowanych miejsc
248992,0,0,0,event bez numerowanych miejsc
249097,0,0,0,event bez numerowanych miejsc
249475,0,0,0,event bez numerowanych miejsc
249513,0,0,0,event bez numerowanych miejsc
249531,0,0,0,event bez numerowanych miejsc
249641,0,0,0,event bez numerowanych miejsc
249646,0,0,0,event bez numerowanych miejsc
249712,0,0,0,event bez numerowanych miejsc
249766,0,0,0,event bez numerowanych miejsc
260965,0,0,0,event bez numerowanych miejsc
248980,0,0,0,event bez numerowanych miejsc
248986,0,0,0,event bez numerowanych miejsc
248995,0,0,0,event bez numerowanych miejsc
249056,0,0,0,event bez numerowanych miejsc
249481,0,0,0,event bez numerowanych miejsc
249510,0,0,0,event bez numerowanych miejsc
249546,0,0,0,event bez numerowanych miejsc
249548,0,0,0,event bez numerowanych miejsc
249589,0,0,0,event bez numerowanych miejsc
249601,0,0,0,event bez numerowanych miejsc
249602,0,0,0,event bez numerowanych miejsc
249626,0,0,0,event bez numerowanych miejsc
249701,0,0,0,event bez numerowanych miejsc
249862,0,0,0,event bez numerowanych miejsc
260988,0,0,0,event bez numerowanych miejsc
248895,0,0,0,event bez numerowanych miejsc
248903,0,0,0,event bez numerowanych miejsc
249141,0,0,0,event bez numerowanych miejsc
249505,0,0,0,event bez numerowanych miejsc
249522,0,0,0,event bez numerowanych miejsc
249526,0,0,0,event bez numerowanych miejsc
249532,0,0,0,event bez numerowanych miejsc
249538,0,0,0,event bez numerowanych miejsc
249540,0,0,0,event bez numerowanych miejsc
249550,0,0,0,event bez numerowanych miejsc
249561,0,0,0,event bez numerowanych miejsc
249684,0,0,0,event bez numerowanych miejsc
249685,0,0,0,event bez numerowanych miejsc
249720,0,0,0,event bez numerowanych miejsc
249788,0,0,0,event bez numerowanych miejsc
249823,0,0,0,event bez numerowanych miejsc
249896,0,0,0,event bez numerowanych miejsc
261013,0,0,0,event bez numerowanych miejsc
248911,0,0,0,event bez numerowanych miejsc
248928,0,0,0,event bez numerowanych miejsc
248932,0,0,0,event bez numerowanych miejsc
249042,0,0,0,event bez numerowanych miejsc
249058,0,0,0,event bez numerowanych miejsc
249120,0,0,0,event bez numerowanych miejsc
249533,0,0,0,event bez numerowanych miejsc
249542,0,0,0,event bez numerowanych miejsc
249552,0,0,0,event bez numerowanych miejsc
249648,0,0,0,event bez numerowanych miejsc
249652,0,0,0,event bez numerowanych miejsc
249675,0,0,0,event bez numerowanych miejsc
249826,0,0,0,event bez numerowanych miejsc
249852,0,0,0,event bez numerowanych miejsc
248906,0,0,0,event bez numerowanych miejsc
248907,0,0,0,event bez numerowanych miejsc
